Club;Titel_Vorsaison;Trainerwechsel_Vorsaison;Zielklasse;Ballbesitz_Vorsaison;Zweikampf_Vorsaison;Passquote_Vorsaison;Fouls_Vorsaison
Bayern_25;0;1;CL;59;3310;90;294
BorussiaDortmund_25;0;1;CL;57;3171;87;298
RBLeipzig_25;0;0;Mid;54;3282;87;329
Leverkusen_25;2;0;CL;58;2962;90;289
Freiburg_25;0;1;Mid;46;3036;81;351
Frankfurt_25;0;0;CL;50;3346;84;347
UnionBerlin_25;0;1;Mid;44;3298;80;383
Wolfsburg_25;0;1;Mid;47;3149;83;393
Mönchengladbach_25;0;0;Mid;47;3248;84;323
StPauli_25;0;0;Mid;56;3077;87;310
Mainz_25;0;1;Mid;46;3530;79;455
Hoffenheim_25;0;0;Mid;49;3094;84;327
WerderBremen_25;0;0;Mid;47;3096;83;374
Augsburg_25;0;1;Mid;45;3098;80;435
Stuttgart_25;0;0;Mid;57;3278;88;314
Heidenheim_25;0;0;Mid;43;3172;77;424
Holstein_25;0;0;Abstieg;52;3330;84;409
Bochum_25;0;1;Abstieg;47;3615;74;417
Bayern_24;1;1;CL;61;3841;88;290
BorussiaDortmund_24;0;0;CL;56;3502;86;310
RBLeipzig_24;1;1;CL;56;3463;86;372
Leverkusen_24;0;1;CL;51;3350;84;361
Freiburg_24;0;0;Mid;48;3276;80;391
Frankfurt_24;0;1;Mid;6;3499;82;403
UnionBerlin_24;0;0;Mid;44;3212;78;421
Wolfsburg_24;0;0;Mid;50;3363;82;372
Mönchengladbach_24;1;0;Mid;52;3183;85;321
Koelln_24;0;0;Abstieg;50;3537;80;387
Mainz_24;0;0;Mid;45;3683;75;453
Hoffenheim_24;1;0;Mid;49;3310;81;454
WerderBremen_24;0;0;Mid;47;3367;80;403
Augsburg_24;0;0;Mid;43;3218;73;411
Stuttgart_24;0;1;CL;49;3549;83;329
Heidenheim_24;0;0;Mid;49;3441;80;394
Darmstadt_24;0;0;Abstieg;50;3579;78;392
Bochum_24;0;1;Mid;46;3525;74;411
Bayern_23;1;0;CL;60;3708;87;293
BorussiaDortmund_23;0;1;CL;56;3447;86;350
RBLeipzig_23;1;1;CL;54;3548;85;348
Leverkusen_23;0;0;Mid;53;3408;84;348
Freiburg_23;0;0;Mid;48;3294;80;381
Frankfurt_23;1;0;Mid;49;3419;79;394
UnionBerlin_23;0;0;CL;43;3346;78;401
Wolfsburg_23;0;1;Mid;49;3614;82;390
Mönchengladbach_23;0;1;Mid;52;3567;85;337
Koelln_23;0;0;Mid;54;3614;81;394
Mainz_23;0;0;Mid;45;3654;78;473
Hoffenheim_23;0;1;Mid;52;3330;83;405
WerderBremen_23;0;0;Mid;53;3659;82;351
Augsburg_23;0;1;Mid;43;3369;77;427
Stuttgart_23;0;0;Mid;50;3753;83;355
Schalke_23;0;0;Abstieg;51;3796;82;383
Hertha_23;0;1;Abstieg;43;3460;79;403
Bochum_23;0;0;Mid;46;3370;76;402
Bayern_22;1;1;CL;58;3814;87;303
BorussiaDortmund_22;1;1;CL;57;3639;87;341
RBLeipzig_22;0;1;CL;56;3861;85;411
Leverkusen_22;0;1;CL;57;3616;86;415
Freiburg_22;0;0;Mid;47;3280;82;415
Frankfurt_22;0;1;Mid;52;3759;82;446
UnionBerlin_22;0;0;Mid;45;3554;80;419
Wolfsburg_22;0;1;Mid;52;3909;81;412
Mönchengladbach_22;0;1;Mid;51;3684;84;382
Koelln_22;0;1;Mid;46;3697;80;398
Mainz_22;0;1;Mid;41;3621;75;479
Hoffenheim_22;0;0;Mid;51;3548;84;420
Bielefeld_22;0;1;Abstieg;44;3656;78;373
Augsburg_22;0;1;Mid;43;3632;78;361
Stuttgart_22;0;0;Mid;51;3925;83;400
Fuerth_22;0;0;Abstieg;54;3884;84;447
Hertha_22;0;1;Mid;50;3518;82;442
Bochum_22;0;0;Mid;56;3793;82;437
Bayern_21;3;1;CL;62;3592;88;311
BorussiaDortmund_21;0;0;CL;57;3389;89;289
RBLeipzig_21;0;0;CL;52;3646;85;349
Leverkusen_21;0;0;Mid;60;3812;87;364
Freiburg_21;0;0;Mid;48;3315;83;316
Frankfurt_21;0;0;Mid;50;3587;80;404
UnionBerlin_21;0;0;Mid;42;3696;77;507
Wolfsburg_21;0;0;CL;48;3763;79;457
Mönchengladbach_21;0;0;Mid;51;3752;85;389
Koelln_21;0;1;Mid;47;3731;80;470
Mainz_21;0;1;Mid;45;3676;80;440
Hoffenheim_21;0;1;Mid;50;3442;85;359
Bielefeld_21;0;0;Mid;NA;NA;NA;NA
Augsburg_21;0;1;Mid;40;3310;75;352
Stuttgart_21;0;0;Mid;NA;NA;NA;NA
Schalke_21;0;0;Abstieg;50;3807;80;371
Hertha_21;0;1;Mid;47;3496;82;440
Bremen_21;0;0;Abstieg;47;3428;83;434